id,route,warehouse,delivery_time,delay_minutes,delay_reason,date
182,Route A,WH2,6.9,28,Accident,2023-02-03
183,Route C,WH1,6.3,0,,2023-02-03
184,Route A,WH2,6.7,19,Staff Shortage,2023-02-03
185,Route C,WH1,4.4,0,,2023-02-03
186,Route D,WH2,4.3,116,Staff Shortage,2023-02-03
187,Route C,WH3,5.6,83,Accident,2023-02-04
188,Route E,WH1,5.3,90,Staff Shortage,2023-02-04
189,Route D,WH4,6.5,33,Staff Shortage,2023-02-04
190,Route E,WH2,7.7,92,Traffic,2023-02-04
191,Route E,WH4,6.5,31,Mechanical Issue,2023-02-04
192,Route C,WH4,6.8,63,Staff Shortage,2023-02-04
193,Route B,WH1,7.7,58,Traffic,2023-02-05
194,Route D,WH3,7.8,64,Staff Shortage,2023-02-05
195,Route B,WH4,4.6,59,Mechanical Issue,2023-02-05
196,Route E,WH1,4.0,56,Weather,2023-02-06
197,Route E,WH4,5.7,107,Staff Shortage,2023-02-06
198,Route B,WH4,6.4,12,Accident,2023-02-06
199,Route A,WH3,5.8,27,Staff Shortage,2023-02-06
200,Route C,WH2,4.5,12,Traffic,2023-02-07
201,Route B,WH1,3.5,94,Weather,2023-02-07
202,Route A,WH2,6.9,55,Accident,2023-02-07
203,Route A,WH2,7.0,49,Weather,2023-02-07
204,Route A,WH2,5.2,24,Accident,2023-02-07
205,Route A,WH4,4.1,114,Weather,2023-02-07
206,Route D,WH1,5.9,115,Accident,2023-02-07
207,Route D,WH3,6.2,0,,2023-02-08
208,Route A,WH4,6.7,0,,2023-02-08
209,Route C,WH1,7.1,37,Weather,2023-02-08
210,Route B,WH1,5.6,108,Staff Shortage,2023-02-09
211,Route C,WH2,5.8,77,Accident,2023-02-09
212,Route B,WH4,5.5,111,Accident,2023-02-09
213,Route A,WH2,5.2,68,Traffic,2023-02-09
214,Route B,WH3,4.6,103,Traffic,2023-02-09
215,Route D,WH2,5.2,92,Traffic,2023-02-09
216,Route B,WH2,5.4,85,Traffic,2023-02-09
217,Route A,WH1,7.2,0,,2023-02-10
218,Route A,WH1,7.9,84,Weather,2023-02-10
219,Route D,WH2,7.5,65,Accident,2023-02-10
220,Route B,WH3,7.2,119,Traffic,2023-02-10
221,Route D,WH3,3.8,0,,2023-02-10
222,Route A,WH1,3.7,42,Accident,2023-02-10
223,Route D,WH1,5.5,5,Mechanical Issue,2023-02-10
224,Route A,WH1,7.4,19,Traffic,2023-02-11
225,Route B,WH1,4.8,101,Mechanical Issue,2023-02-11
226,Route E,WH4,4.6,0,,2023-02-11
227,Route E,WH3,4.9,102,Accident,2023-02-11
228,Route B,WH4,7.6,86,Accident,2023-02-11
229,Route E,WH2,7.5,34,Traffic,2023-02-11
230,Route D,WH1,7.3,67,Mechanical Issue,2023-02-12
231,Route A,WH2,5.3,62,Mechanical Issue,2023-02-12
232,Route A,WH1,4.0,115,Accident,2023-02-12
233,Route D,WH1,4.9,14,Staff Shortage,2023-02-12
234,Route E,WH2,3.2,120,Staff Shortage,2023-02-12
235,Route D,WH4,7.4,55,Weather,2023-02-13
236,Route D,WH3,7.0,109,Accident,2023-02-13
237,Route D,WH4,7.0,50,Staff Shortage,2023-02-13
238,Route A,WH2,4.4,12,Weather,2023-02-14
239,Route B,WH4,3.1,62,Mechanical Issue,2023-02-14
240,Route A,WH2,5.9,0,,2023-02-14
241,Route E,WH3,4.4,0,,2023-02-14
242,Route E,WH1,6.1,51,Mechanical Issue,2023-02-14
243,Route B,WH1,3.3,0,,2023-02-15
244,Route B,WH1,3.3,79,Mechanical Issue,2023-02-15
245,Route B,WH1,3.2,0,,2023-02-15
246,Route B,WH3,6.4,48,Accident,2023-02-15
247,Route E,WH3,6.1,0,,2023-02-16
248,Route D,WH2,3.8,68,Staff Shortage,2023-02-16
249,Route A,WH3,7.9,66,Accident,2023-02-16
250,Route A,WH4,5.7,52,Staff Shortage,2023-02-16
251,Route D,WH3,3.3,60,Accident,2023-02-16
252,Route D,WH4,4.9,107,Traffic,2023-02-16
253,Route E,WH3,7.4,0,,2023-02-16
254,Route E,WH2,5.7,86,Traffic,2023-02-17
255,Route C,WH4,3.8,99,Weather,2023-02-17
256,Route C,WH2,5.4,120,Staff Shortage,2023-02-17
257,Route C,WH2,6.3,74,Traffic,2023-02-17
258,Route D,WH4,3.8,9,Accident,2023-02-17
259,Route B,WH2,3.5,103,Staff Shortage,2023-02-17
260,Route B,WH2,6.2,62,Staff Shortage,2023-02-17
261,Route B,WH2,3.7,108,Traffic,2023-02-18
262,Route E,WH3,7.0,36,Accident,2023-02-18
263,Route B,WH3,5.6,24,Traffic,2023-02-18
264,Route D,WH4,6.2,90,Staff Shortage,2023-02-18
265,Route B,WH4,5.0,16,Weather,2023-02-18
266,Route E,WH1,3.9,114,Staff Shortage,2023-02-18
267,Route D,WH2,5.0,66,Traffic,2023-02-19
268,Route E,WH2,7.1,89,Weather,2023-02-19
269,Route C,WH3,7.7,13,Traffic,2023-02-19
270,Route C,WH2,6.8,25,Accident,2023-02-19
271,Route B,WH4,4.0,83,Staff Shortage,2023-02-19
272,Route C,WH1,8.0,91,Traffic,2023-02-19
273,Route D,WH3,4.7,58,Traffic,2023-02-19
274,Route B,WH1,7.6,0,,2023-02-20
275,Route E,WH1,5.1,117,Accident,2023-02-20
276,Route A,WH1,3.6,65,Traffic,2023-02-20
277,Route C,WH3,5.0,92,Weather,2023-02-21
278,Route A,WH4,7.5,0,,2023-02-21
279,Route D,WH4,6.3,0,,2023-02-21
280,Route C,WH2,5.6,87,Weather,2023-02-21
281,Route C,WH1,7.1,57,Weather,2023-02-22
282,Route B,WH4,4.4,0,,2023-02-22
283,Route B,WH2,6.8,10,Traffic,2023-02-22
284,Route D,WH4,5.9,27,Staff Shortage,2023-02-22
285,Route A,WH3,7.0,57,Staff Shortage,2023-02-22
286,Route D,WH4,4.4,0,,2023-02-22
287,Route B,WH3,5.3,102,Mechanical Issue,2023-02-23
288,Route C,WH3,7.7,39,Traffic,2023-02-23
289,Route B,WH4,7.5,0,,2023-02-23
290,Route B,WH2,6.1,8,Mechanical Issue,2023-02-24
291,Route D,WH4,6.4,94,Mechanical Issue,2023-02-24
292,Route D,WH2,6.7,0,,2023-02-24
293,Route D,WH1,6.0,71,Traffic,2023-02-24
294,Route A,WH4,5.3,65,Weather,2023-02-25
295,Route A,WH1,6.3,45,Staff Shortage,2023-02-25
296,Route A,WH3,4.0,92,Mechanical Issue,2023-02-25
297,Route B,WH1,4.4,39,Mechanical Issue,2023-02-25
298,Route C,WH4,3.0,81,Staff Shortage,2023-02-25
299,Route B,WH2,7.6,0,,2023-02-25
300,Route D,WH2,3.7,29,Accident,2023-02-25
301,Route D,WH1,8.0,53,Traffic,2023-02-26
302,Route C,WH2,3.3,64,Staff Shortage,2023-02-26
303,Route A,WH1,4.0,79,Traffic,2023-02-26
304,Route D,WH1,3.3,0,,2023-02-26
305,Route C,WH4,6.9,17,Staff Shortage,2023-02-26
306,Route A,WH3,7.7,85,Mechanical Issue,2023-02-27
307,Route A,WH1,7.1,24,Traffic,2023-02-27
308,Route C,WH2,3.9,38,Staff Shortage,2023-02-27
309,Route B,WH4,6.7,36,Accident,2023-02-28
310,Route E,WH2,6.2,48,Accident,2023-02-28
311,Route D,WH2,7.9,42,Accident,2023-02-28
312,Route A,WH4,4.0,56,Staff Shortage,2023-02-28
313,Route E,WH3,3.8,98,Traffic,2023-02-28
314,Route B,WH4,6.4,100,Accident,2023-03-01
315,Route C,WH2,7.6,106,Mechanical Issue,2023-03-01
316,Route D,WH2,5.2,22,Staff Shortage,2023-03-01
317,Route D,WH4,5.9,38,Mechanical Issue,2023-03-01
318,Route E,WH2,3.3,80,Weather,2023-03-01
319,Route D,WH3,6.0,95,Mechanical Issue,2023-03-01
320,Route A,WH1,4.0,64,Mechanical Issue,2023-03-01
321,Route A,WH4,6.6,20,Staff Shortage,2023-03-01
322,Route A,WH3,5.3,59,Accident,2023-03-02
323,Route B,WH2,5.7,22,Mechanical Issue,2023-03-02
324,Route A,WH1,7.8,0,,2023-03-02
325,Route A,WH4,3.4,82,Accident,2023-03-02
326,Route A,WH4,5.0,23,Staff Shortage,2023-03-02
327,Route D,WH2,7.1,51,Mechanical Issue,2023-03-03
328,Route C,WH4,3.8,104,Traffic,2023-03-03
329,Route B,WH3,7.0,0,,2023-03-03
330,Route D,WH2,6.7,114,Traffic,2023-03-03
331,Route A,WH4,6.5,95,Weather,2023-03-03
332,Route B,WH3,4.7,34,Staff Shortage,2023-03-03
333,Route A,WH3,5.7,69,Staff Shortage,2023-03-03
334,Route D,WH2,5.3,86,Weather,2023-03-04
335,Route B,WH1,5.2,17,Accident,2023-03-04
336,Route E,WH3,7.2,0,,2023-03-04
337,Route D,WH3,5.2,100,Staff Shortage,2023-03-04
338,Route D,WH2,4.6,23,Mechanical Issue,2023-03-04
339,Route E,WH3,4.5,94,Traffic,2023-03-04
340,Route B,WH4,7.5,32,Accident,2023-03-05
341,Route A,WH4,7.2,71,Weather,2023-03-05
342,Route A,WH3,5.6,105,Mechanical Issue,2023-03-05
343,Route D,WH4,5.3,101,Mechanical Issue,2023-03-05
344,Route C,WH4,3.7,58,Accident,2023-03-05
345,Route E,WH1,6.7,23,Staff Shortage,2023-03-05
346,Route C,WH4,7.6,60,Traffic,2023-03-05
347,Route C,WH3,5.2,74,Traffic,2023-03-05
348,Route D,WH1,3.8,38,Weather,2023-03-06
349,Route E,WH4,6.8,40,Weather,2023-03-06
350,Route E,WH1,6.7,8,Staff Shortage,2023-03-06
351,Route B,WH2,6.0,0,,2023-03-06
352,Route E,WH2,7.1,63,Weather,2023-03-06
353,Route E,WH2,3.0,78,Accident,2023-03-06
354,Route C,WH3,3.9,29,Mechanical Issue,2023-03-06
355,Route B,WH2,6.3,65,Weather,2023-03-07
356,Route B,WH1,4.3,51,Mechanical Issue,2023-03-07
357,Route D,WH2,5.4,14,Staff Shortage,2023-03-07
358,Route E,WH1,4.7,119,Weather,2023-03-07
359,Route D,WH2,6.4,62,Accident,2023-03-07
360,Route E,WH3,6.6,87,Staff Shortage,2023-03-07
361,Route E,WH4,7.3,35,Accident,2023-03-08
362,Route E,WH4,4.2,45,Mechanical Issue,2023-03-08
363,Route E,WH2,3.5,60,Mechanical Issue,2023-03-08
364,Route E,WH2,6.9,77,Weather,2023-03-08
365,Route C,WH2,3.8,16,Mechanical Issue,2023-03-08
366,Route D,WH4,5.7,31,Weather,2023-03-08
367,Route A,WH4,3.9,90,Traffic,2023-03-09
368,Route B,WH4,4.3,35,Staff Shortage,2023-03-09
369,Route B,WH3,4.5,42,Staff Shortage,2023-03-09
370,Route E,WH2,5.9,0,,2023-03-09
371,Route C,WH1,5.5,85,Traffic,2023-03-09
372,Route A,WH2,3.6,85,Accident,2023-03-09
373,Route C,WH4,7.2,10,Traffic,2023-03-09
374,Route D,WH1,7.4,75,Mechanical Issue,2023-03-10
375,Route C,WH3,7.7,57,Weather,2023-03-10
376,Route B,WH4,7.3,38,Staff Shortage,2023-03-10
377,Route A,WH1,3.5,17,Staff Shortage,2023-03-10
378,Route D,WH3,5.3,25,Staff Shortage,2023-03-10
379,Route C,WH4,4.4,42,Staff Shortage,2023-03-11
380,Route C,WH4,3.4,32,Weather,2023-03-11
381,Route E,WH1,4.2,29,Staff Shortage,2023-03-11
382,Route D,WH1,4.4,114,Weather,2023-03-11
383,Route B,WH3,6.2,48,Staff Shortage,2023-03-11
384,Route E,WH4,3.7,70,Weather,2023-03-11
385,Route D,WH4,6.7,42,Mechanical Issue,2023-03-12
386,Route E,WH3,4.6,0,,2023-03-12
387,Route B,WH3,4.9,59,Mechanical Issue,2023-03-12
388,Route A,WH1,7.2,41,Accident,2023-03-12
389,Route A,WH1,5.1,40,Traffic,2023-03-12
390,Route E,WH2,7.3,52,Traffic,2023-03-12
391,Route B,WH1,4.9,86,Weather,2023-03-13
392,Route D,WH1,4.9,29,Traffic,2023-03-13
393,Route B,WH2,4.4,42,Weather,2023-03-13
394,Route A,WH2,6.9,8,Staff Shortage,2023-03-13
395,Route D,WH2,7.6,107,Weather,2023-03-13
396,Route C,WH3,6.3,118,Staff Shortage,2023-03-13
397,Route D,WH1,4.3,61,Mechanical Issue,2023-03-13
398,Route B,WH2,4.9,119,Accident,2023-03-13
399,Route E,WH4,6.6,0,,2023-03-14
400,Route D,WH3,3.4,63,Traffic,2023-03-14
401,Route C,WH3,5.4,13,Weather,2023-03-14
402,Route D,WH2,7.0,98,Traffic,2023-03-14
403,Route A,WH4,6.6,52,Mechanical Issue,2023-03-14
404,Route B,WH4,6.4,0,,2023-03-14
405,Route D,WH2,5.8,36,Accident,2023-03-14
406,Route D,WH1,6.8,0,,2023-03-15
407,Route C,WH2,5.4,21,Traffic,2023-03-15
408,Route A,WH2,7.5,60,Staff Shortage,2023-03-15
409,Route E,WH4,5.6,115,Staff Shortage,2023-03-15
410,Route E,WH1,4.7,51,Staff Shortage,2023-03-15
411,Route B,WH1,6.2,28,Staff Shortage,2023-03-15
412,Route C,WH2,3.5,90,Staff Shortage,2023-03-15
413,Route B,WH3,5.1,99,Accident,2023-03-15
414,Route B,WH4,6.8,7,Mechanical Issue,2023-03-16
415,Route B,WH1,7.9,43,Accident,2023-03-16
416,Route E,WH3,6.2,49,Traffic,2023-03-16
417,Route D,WH3,3.9,15,Staff Shortage,2023-03-16
418,Route C,WH1,4.7,116,Staff Shortage,2023-03-16
419,Route A,WH4,6.8,0,,2023-03-16
420,Route D,WH2,6.2,0,,2023-03-16
421,Route D,WH2,4.6,37,Weather,2023-03-16
422,Route C,WH3,3.4,92,Staff Shortage,2023-03-17
423,Route D,WH4,7.1,23,Staff Shortage,2023-03-17
424,Route A,WH2,6.5,98,Weather,2023-03-17
425,Route B,WH2,5.0,82,Traffic,2023-03-17
426,Route A,WH2,7.9,58,Traffic,2023-03-17
427,Route A,WH4,3.9,75,Mechanical Issue,2023-03-17
428,Route B,WH2,5.2,12,Accident,2023-03-17
429,Route A,WH1,3.6,47,Traffic,2023-03-18
430,Route B,WH2,6.1,96,Weather,2023-03-18
431,Route A,WH4,3.1,10,Weather,2023-03-18
432,Route A,WH2,5.6,11,Staff Shortage,2023-03-19
433,Route B,WH1,4.5,46,Weather,2023-03-19
434,Route C,WH2,5.6,19,Mechanical Issue,2023-03-19
435,Route B,WH2,6.4,45,Traffic,2023-03-19
436,Route D,WH3,3.8,116,Traffic,2023-03-19
437,Route A,WH1,7.6,74,Staff Shortage,2023-03-19
438,Route B,WH3,7.0,21,Staff Shortage,2023-03-20
439,Route C,WH1,4.9,86,Accident,2023-03-20
440,Route B,WH3,6.8,0,,2023-03-20
441,Route B,WH3,3.3,111,Accident,2023-03-20
442,Route B,WH3,3.3,45,Staff Shortage,2023-03-21
443,Route C,WH1,6.3,8,Mechanical Issue,2023-03-21
444,Route B,WH1,4.8,0,,2023-03-21
445,Route B,WH3,5.5,118,Accident,2023-03-21
446,Route E,WH4,4.1,50,Mechanical Issue,2023-03-21
447,Route B,WH2,4.6,56,Staff Shortage,2023-03-21
448,Route B,WH2,5.5,75,Staff Shortage,2023-03-21
449,Route C,WH4,3.9,0,,2023-03-21
450,Route D,WH2,8.0,34,Mechanical Issue,2023-03-22
451,Route B,WH1,6.0,0,,2023-03-22
452,Route A,WH1,4.9,112,Weather,2023-03-22
453,Route D,WH3,3.3,89,Staff Shortage,2023-03-22
454,Route B,WH4,7.0,12,Staff Shortage,2023-03-22
455,Route C,WH3,7.1,72,Traffic,2023-03-22
456,Route D,WH2,4.0,77,Mechanical Issue,2023-03-22
457,Route E,WH4,3.6,46,Staff Shortage,2023-03-22
458,Route A,WH3,3.4,119,Traffic,2023-03-23
459,Route A,WH3,5.0,72,Staff Shortage,2023-03-23
460,Route C,WH1,3.1,0,,2023-03-23
461,Route A,WH4,3.5,94,Traffic,2023-03-23
462,Route E,WH1,4.4,98,Accident,2023-03-23
463,Route E,WH4,7.4,31,Traffic,2023-03-23
464,Route B,WH4,4.0,113,Accident,2023-03-24
465,Route D,WH2,3.6,34,Mechanical Issue,2023-03-24
466,Route A,WH4,6.5,42,Mechanical Issue,2023-03-24
467,Route A,WH2,3.3,29,Traffic,2023-03-24
468,Route E,WH2,5.6,80,Traffic,2023-03-24
469,Route B,WH1,5.4,16,Staff Shortage,2023-03-25
470,Route D,WH1,7.8,0,,2023-03-25
471,Route C,WH3,6.6,28,Weather,2023-03-25
472,Route B,WH4,3.4,0,,2023-03-26
473,Route E,WH2,7.3,34,Weather,2023-03-26
474,Route C,WH3,7.8,23,Accident,2023-03-26
475,Route D,WH3,6.6,95,Staff Shortage,2023-03-26
476,Route A,WH4,7.0,33,Weather,2023-03-26
477,Route D,WH4,5.7,32,Traffic,2023-03-26
478,Route C,WH4,3.7,65,Mechanical Issue,2023-03-27
479,Route B,WH1,3.3,0,,2023-03-27
480,Route D,WH4,5.1,0,,2023-03-27
481,Route B,WH3,5.1,97,Weather,2023-03-28
482,Route B,WH3,3.5,0,,2023-03-28
483,Route D,WH1,7.0,81,Traffic,2023-03-28
484,Route B,WH4,6.8,28,Accident,2023-03-28
485,Route C,WH4,4.1,73,Staff Shortage,2023-03-28
486,Route D,WH3,6.7,86,Staff Shortage,2023-03-28
487,Route E,WH4,4.0,16,Staff Shortage,2023-03-29
488,Route E,WH4,3.7,16,Accident,2023-03-29
489,Route E,WH4,3.3,26,Staff Shortage,2023-03-29
490,Route B,WH2,3.5,0,,2023-03-30
